name                                               usablegc  usablevc  density  porosity  Ri       ssa      specific
-                                                  (wt.%)    (kg/L)    (kg/L)   volzeo    (angs.)  (m^2/g)  porevolu
ssa=specificsurfacearea                            25MPa     25MPa     -        -         -        -        mevolzeo
angs.=angstroms                                    298.15K   298.15K   -        -         -        -        (cm^3/g)
MOF-selected-N-Cu-NU2100/qipqeo_P1                 0.75      0.0100    1.315    0.200     3.12     1596     0.152
MOF-selected-N-Cu-NU2100/yavwuq_P1_charged         1.81      0.0143    0.777    0.240     7.74     3369     0.309
MOF-selected-N-Cu-NU2100/zinqar_P1                 1.50      0.0128    0.838    0.220     3.66     3639     0.263
MOF-selected-poro-dens-NU2100/asahej_P1            0.27      0.0063    2.306    0.140     3.03     699      0.061
MOF-selected-poro-dens-NU2100/bifnow_P1_charged_H  0.28      0.0065    2.297    0.020     3.78     532      0.009
MOF-selected-poro-dens-NU2100/gidret_P1            0.24      0.0058    2.439    0.120     2.95     565      0.049
MOF-selected-poro-dens-NU2100/jelpas_P1_charged    0.41      0.0093    2.244    0.060     3.30     657      0.027
MOF-selected-poro-dens-NU2100/okuwun_P1            0.38      0.0096    2.528    0.160     3.11     752      0.063
MOF-selected-poro-dens-NU2100/oxuput_P1_H          0.16      0.0037    2.285    0.160     3.25     502      0.070
MOF-selected-poro-dens-NU2100/voxzep_P1            0.32      0.0072    2.260    0.140     5.31     456      0.062
mrts/mrt1                                          0.35      0.0044    1.250    0.060     2.43     882      0.048
mrts/mrt2                                          2.19      0.0125    0.559    0.500     5.79     3752     0.893
mrts/mrt3                                          0.02      0.0004    1.685    0.000     1.68     124      0.000
mrts/mrt4                                          2.55      0.0143    0.547    0.480     5.38     3675     0.877
