r2,mae
0.9538606060423227,0.1687013139147758
0.9669054243019727,0.11512834520586906
0.9481303348521064,0.16509391996578468
0.955867652209224,0.1825551529700187
0.9740341200152588,0.13964081060865607
0.964354940562956,0.16625278512935787
0.9331049234680072,0.1934694446857851
0.9465612740487442,0.16290471694460085
0.9364041026375725,0.19446229289339445
0.9401626950011892,0.1931019106049714
0.953762305149424,0.15911188992299197
0.9689578395463128,0.14262265604223365
0.9731546087300861,0.13338740026667967
0.9639490656573535,0.14538073715762412
0.9594383954231984,0.16793462286597527
0.9346468446993064,0.19117832208340096
0.9363689635356885,0.15700121945526024
0.9794088166093162,0.13716327295937317
0.9571105709402808,0.14577828094825618
0.9581912852130225,0.16485843646037618
0.9551934848366341,0.13024126701155034
0.9464239734577353,0.14718316797593467
0.941344081770552,0.15988138424049658
0.9504544333880268,0.11802047548197053
0.9352924949908608,0.22588034909323942
0.9708186599598622,0.16067552961473758
0.9691637575437402,0.14947380306469005
0.9512501759028109,0.17811851258835099
0.9609074641894143,0.16615036397054325
0.948401124838123,0.1856792520059255
0.9562243253697951,0.15940518472974802
0.9495914938220713,0.14277623663620323
0.9765721573087346,0.12457693675889016
0.977469473834001,0.12064407813047401
0.9576733031968148,0.16078071780213607
0.9801981626568043,0.10981174605874587
0.9608904832743258,0.1630006729647876
0.9682728089437408,0.15584074948013868
0.9631383103844487,0.1743784328310098
0.9700826550239412,0.1459268412219649
0.964859344141101,0.1605410168681804
0.9450685547017986,0.17374860503556033
0.957297388615831,0.1562997633861412
0.9737623818647645,0.130436647268271
0.9499565790008695,0.1797698968676203
0.9486059355436499,0.16392141050783607
0.9426112107879359,0.2106712482788121
0.9686406108114503,0.13666728554066399
0.9544287566076028,0.17693778052209358
0.9814862255611394,0.11236323201256801
0.9689722007879153,0.15166208897319883
0.9696101607656639,0.12851682894371536
0.9731212078745596,0.12770326129488802
0.972614289607358,0.11816037502556734
0.9682745998071104,0.14283947905305322
0.9576408852209916,0.14740898924014498
0.9403376239143901,0.20875316888285306
0.9403095255429013,0.16459647537767264
0.9513687447210963,0.14509312499349916
0.9609262688375679,0.15754964176412806
0.9652981110031111,0.1285433686566831
0.9731239465724566,0.12317314714624981
0.9573899816331476,0.17279179568182773
0.9582203715399655,0.15743719811168627
0.9621612727244789,0.13883836936961294
0.9574352364485459,0.13563478318735223
0.9754503983344746,0.1301942363372042
0.9766205378594559,0.11845637431362804
0.9451729892816817,0.21415029301990957
0.9494711276618385,0.18412041251420486
0.9537357683712308,0.20044758295268977
0.9665843062544407,0.13267068597969534
0.9544684507946375,0.15684264705449807
0.9496270250109343,0.15259872874941868
0.9717345946923163,0.13868307939810282
0.959657881283975,0.15872130041045152
0.9615027982356037,0.1368718572158401
0.9358274865898485,0.15167739562242594
0.8949304371729727,0.2048904220653955
0.9711177496533032,0.14243375823582405
0.9573813171188377,0.15384285136493908
0.9468046258238125,0.14228970688721235
0.9776529408840562,0.11766101385386338
0.937182521408331,0.1564723574697608
0.9673581478897,0.1423215652989788
0.9308715475195933,0.18321354794985195
0.9788652258464374,0.1170425176084169
0.9516588393868449,0.1554117133081788
0.9614682278865289,0.15889971812155718
0.9634922092833438,0.10941912305086438
0.9484386057038627,0.1350697934818151
0.9634253458857338,0.1287373396924113
0.9639010614143001,0.16442543738575935
0.9673986934937846,0.13453802392397152
0.921311771989429,0.17924147959249226
0.9717393162900657,0.1390866574918454
0.9482921275273866,0.18119193805055195
0.9753193678368922,0.1357774318878199
